keyword,googl_anal,count_analytics,h1,title,yandex_metrick,text,description,h2,link
"(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,,"(['Новости', 'Поступление', 'Федеральные программы', 'Студенческие проекты и команды', 'Кампус', 'Контакты'],)",Московский Политех - Главная страница,yes,"(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Студенты Московского Политеха – победители конкурса инноваций в промышленном дизайне PUSHKA', 'Открытый отборочный чемпионат по стандартам WorldSkills завершился в Московском Политехе', 'Две серебряных медали получили разработки Московского Политеха на IENA-2017 в Германии', 'Футболисты Московского Политеха – чемпионы мира по футзалу', 'Талантливым школьникам рассказали, как поступить в университет со своим проектом', 'IX открытый Турнир поэтов прошел в Московском Политехе', 'КОНТАКТЫ ', 'МОСКОВСКИЙ ПОЛИТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ', 'ст. м. «Электрозаводская», ул. Большая Семеновская, 38', 'Приемная комиссия: +7 495 223-05-22', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)","(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","([],)",http://mospolytech.ru/
"(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,,"([],)",Московский Политех - Оплата обучения,yes,"(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Оплата обучения', '\xa0', '\xa0', '\xa0', 'Москва, Большая семеновская, д. 38, ауд. Н402', '\xa0', 'Телефон: (495) 223-05-40 или (495) 223-05-23 доб. 1247, 1549, 1550', ' (Логин и пароль для доступа можно получить в Центре по работе со студентами)', 'С Положением об оказании платных образовательных услуг в университете машиностроения можно ознакомиться ', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)","(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","([],)",http://mospolytech.ru/index.php?id=2042
"(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,,"([],)",Московский Политех - Банковские карты,yes,"(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Банковские карты', 'Для получения готовой кампусной карты в отделении Сбербанка при себе необходимо иметь:', '- Документ, удостоверяющий личность иностранного гражданина (паспорт);', '- перевод Документа, удостоверяющего личность иностранного гражданина (нотариально заверенный, если в самом паспорте нет страницы с таким переводом);', '- основание пребывания в РФ (виза, миграционная карта и т.п.).', 'Для более комфортного и быстрого обслуживания в Банке просьба также иметь копии следующих документов:', '- паспорта иностранного гражданина;', '- визы;', '- нотариального перевода паспорта;', '- вида на жительство.\xa0', 'Обучающиеся 1 курса могут получить кампусную карту с 30.10.2017 г. в отделении Сбербанка по адресу: г. Москва, ул. Большая Якиманка, д. 18, 2 этаж, кабинет 213.', 'График работы:', 'Дни недели', 'Время', 'Кабинет', 'пн - пт', '10:00 – 19:00', '213 (2 этаж)', 'сб', '10:00 – 15:00', '213 (2 этаж)', '\xa0', '\xa0', 'Подать заявление на выпуск банковской карты ПАО Сбербанк для зачисления заработной платы (если ранее такая карта не выпускалась), а также получить любые консультации по вопросам использования банковских карт ПАО Сбербанк Вы можете по следующему графику присутствия представителей ПАО Сбербанк на территории Московского Политехнического Университета:', 'ул. Большая   Семеновская д. 38', 'с 10-00 до 12-00', 'Вестибюль корпуса А', '\xa0', 'ул. Павла Корчагина\xa0 д. 22', '\xa0', 'с 10-00 до 12-00', 'Вестибюль главного корпуса, 2 этаж', '\xa0', 'ул. Автозаводская д. 16', '\xa0', 'с 10-00 до 12-00', 'Вестибюль главного корпуса («шайба»)', '\xa0', 'ул. Прянишникова д. 2А', '\xa0', 'с 10-00 до 12-00', 'Ауд. 1211,', 'Конференц-зал', 'В другое время подать заявление можно в отделении ПАО Сбербанк по адресу: ', 'пн.-пт. с 08-30 час. до 18-30 час.', 'сб. с 08-30 час. до 15-00 час.', 'вс. - выходной', '\xa0', '\xa0', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)","(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","(['Информация для держателей банковских карт, получающих стипендию и другие материальные выплаты'],)",http://mospolytech.ru/index.php?id=55
"(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,,"([],)",Московский Политех - Комплекс общежитий,yes,"(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Комплекс общежитий', '\xa0', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)","(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","([],)",http://mospolytech.ru/index.php?id=3796
"(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,,"([],)",Московский Политех - Бланки заявлений для студентов,yes,"(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Бланки заявлений для студентов', 'Бланки заявлений\xa0', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)","(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","([],)",http://mospolytech.ru/index.php?id=1300
"(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,,"([],)",Московский Политех - Общая информация,yes,"(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Общая информация', ' Арзамасова Инна Ивановна', 'Адрес:\xa0107023, г. Москва, ул. Б. Семёновская, д. 38, корп. А', 'кабинет А-324,325', 'тел: (495) 223-05-23, доб. 1225', '\xa0', '\xa0Максимова Анастасия Олеговна (сотрудники, аспиранты)', 'тел: (495) 223-05-23, доб. 1025', '\xa0', '\xa0Дашкин Евгений Николаевич', '(студенты, аспиранты и сотрудники ВШПиМ)', 'тел: (495) 223-05-23, доб. 1026', '\xa0', '\xa0Фомин Андрей Германович', 'тел: (495) 223-05-23, доб. 1027', '\xa0', ' Ткаченко Татьяна Сергеевна (студенты)', '\xa0Евдокимова Наталья Сергеевна (студенты)', 'тел: (495) 223-05-23, доб. 1125', '\xa0', 'с понедельника по пятницу с 10-00 до 16-00', 'с понедельника по четверг с 10-00 по 16-00', 'обед с 12-00 до 13-00', 'с понедельника по четверг с 14-00 до 16-00', 'а) постановка на воинский учет военнообязанных и призывников очного отделения;', 'б) снятие с воинского учета;', 'в) оформление справок для предоставления в районные военные комиссариаты для оформления отсрочки от призыва на военную службу (', ');', 'г) выписки из приказов (рассылка писем по районным военным комиссариатам) об отчислении, окончании, восстановлении и т.д. на студентов очного отделения.', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)","(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","([],)",http://mospolytech.ru/index.php?id=56
"(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,,"([],)",Московский Политех - Внеучебная деятельность,yes,"(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Внеучебная деятельность', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)","(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","([],)",http://mospolytech.ru/index.php?id=668
"(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,,"([],)",Московский Политех - О Центрах,yes,"(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'О Центрах', 'Центр  по работе со студентами – составляющая часть Управления контингента  образовательных программ, работа которого направлена на документальное  сопровождение и информационно-справочное обслуживание обучающихся университета.', 'Каждый из центров ориентирован на работу с обучающимися определенного факультета, но в любом из центров обучающийся может получить информацию относительно организации учебного процесса и обучения в университете.', '\xa0', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)","(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","([],)",http://mospolytech.ru/index.php?id=3579
"(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,,"([],)",Московский Политех - Расписания,yes,"(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Расписания', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)","(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","([],)",http://mospolytech.ru/index.php?id=3885
"(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,,"([],)",Московский Политех - Инвалидам и лицам с ОВЗ,yes,"(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Инвалидам и лицам с ОВЗ', '\xa0', 'В целях обеспечения выполнения показателей доступности высшего образования для инвалидов и лиц с ограниченными возможностями здоровья в Московском Политехе проводятся следующие мероприятия:', '- в период проведения приёмной кампании профориентирование абитуриентов из числа инвалидов и лиц с ОВЗ обеспечивается сотрудниками профориентационной зоны, в остальное время сотрудниками приёмной комиссии (ответственный – ответственный секретарь приёмной комиссии Ю.Н. Анфимов);', '- при необходимости приём документов от абитуриентов-инвалидов и лиц с ОВЗ осуществляется в индивидуальном порядке на специально оборудованном рабочем месте с прикреплением ассистента (ответственный – ответственный секретарь приёмной комиссии Ю.Н. Анфимов);', '- в университете работает персональная «горячая линия» для инвалидов и лиц с ОВЗ (тел. 8 (495) 223-05-38);', '- приём документов от инвалидов на обучение в соответствии с их особыми образовательными потребностями осуществляют заместители ответственного секретаря приёмной комиссии на территории Большая Семёновская улица, дом 38 – Макаренко Сергей Александрович, на территории улица Прянишникова, дом 2А – Дмитриев Ярослав Владимирович;', '- при входе в университет размещены специальные значки и указатели, информационные таблички с телефонами, и при необходимости, потребности абитуриента или студента инвалида предоставляется сопровождение волонтера (ответственные за сопровождение – Кременский Виктор Александрович, Петров Александр Владимирович);', '- для инвалидов и лиц с ОВЗ полностью оборудован корпус по адресу: Автозаводская улица, дом 16, строение 5;', '- в университете создана программа «Доступная среда в Московском Политехе», в которой предусмотрено развитие инклюзивного образования, оборудование учебных корпусов, специализированных учебных аудиторий, организация профессиональной ориентации инвалидов, волонтёрского движения в этом направлении.', '\xa0', 'В Московском политехническом университете созданы условия для получения образования студентами с ограниченными возможностями здоровья и студентами-инвалидами. Присутствует доступная среда, достаточная для обеспечения возможности беспрепятственного доступа студентов и работников с ограниченными возможностями здоровья в учебные корпуса по следующим адресам: на Большой Семёновской улице, 38 строение 12, ул. Автозаводская д. 16, стр. 5; ул. Садовая-Спасская д. 4, стр. 6. В университете организован учет обучающихся с ограниченными возможностями здоровья и инвалидов.', 'Студенты-инвалиды и студенты с ограниченными возможностями здоровья, как и все остальные студенты, могут обучаться в установленные сроки. При необходимости, с учетом особенностей и образовательных потребностей конкретных обучающихся, разрабатываются индивидуальные учебные планы. По каждой дисциплине учебных планов образовательных программ разработаны методические документы, включающие методические рекомендации по самостоятельному освоению курсов. На основе индивидуализированного подхода организуется прохождение практики обучающихся-инвалидов и обучающихся с ограниченными возможностями здоровья.', 'Особое внимание уделяется охране здоровья обучающимся из числа инвалидов и лиц с ограниченными возможностями здоровья. На территории Большая Семёновская, 38 корпус А работает медицинский кабинет, где оказывается необходимая первичная помощь, производится периодичный осмотр обучающихся инвалидов и обучающихся с ограниченными возможностями. В университете работает консультативный пункт психологической помощи для всех обучающихся, со штатом в количестве 2 человек.', 'Библиотечно-информационный центр университета осуществляет обслуживание обучающихся из числа инвалидов и лиц с ограниченными возможностями здоровья:', '- обеспечивает доступность к книжным фондам и электронным ресурсам библиотеки;', '- принимает заказы на издания и другие документы (дистанционно);', '- подбирает и доставляет литературу и другие документы к месту пребывания обучающихся в университете;', '- оказывает помощь в работе с электронным и карточным каталогом;', 'организует доступ (удаленный доступ) к электронным библиотечным системам (ЭБС) и другим электронным ресурсам.', 'Все ЭБС снабжены версиями для слабовидящих. В ЭБС «Лань» интегрированы сервисы для незрячих студентов, которые позволяют эффективно работать с ЭБС. В мобильное приложение ЭБС «Лань» интегрирован синтезатор речи. Используя этот сервис, незрячие студенты могут:', '- осуществлять навигацию как по каталогу, так и в тексте книги;', '- слушать озвученные книги на мобильном устройстве;', '- регулировать скорость воспроизведения речи;', '- осуществлять переход по предложениям, абзацам или главам книги.', 'Для освоения дисциплины «Физическая культура и спорт» университет устанавливает особый порядок. Студентам-инвалидам предлагаются задания и специальный комплекс упражнений для самостоятельного физического совершенствования. Для студентов с ограниченными возможностями здоровья проводятся занятия с доступной физической нагрузкой, учитывающей особенности каждого студента.', 'Работники приёмной комиссии университета работают с соблюдением законодательства в части приёма абитуриентов-инвалидов и абитуриентов с ограниченными возможностями здоровья.', 'Полностью оборудован объект студенческого городка - общежитие № 8 по адресу Рижский проезд дом 15 корп. 2 и является доступным для пользования инвалидами и другими маломобильными группами. Общежитие предусматривает размещение, проживание 8 обучающихся с ограниченными возможностями здоровья. Соответствие подтверждено заключением Общественной инспекции по делам инвалидов в г. Москве (Акт обследования объекта действующей инфраструктуры в г. Москве от 31.01.2017 № 1).', 'В университете разработаны локальные нормативные документы, которые регламентируют процедуру организации образовательного процесса для инвалидов и лиц с ограниченными возможностями здоровья студентов с ограниченными возможностями здоровья.', 'Подготовлены специализированные стоянки для автотранспорта лиц с ограниченными возможностями в соответствии с ГОСТ Р 52289 и ГОСТ Р 12.4.026 по следующим адресам: Большая Семёновская, 38 строение 12 – 2 парковочных места, Автозаводская улица, 16 стр. 5 – 2 парковочных места, ул. Садовая-Спасская д. 4, стр. 6 – 2 парковочных места. Размещены информационные таблички о наличии ситуационной помощи лицам с ограниченными возможностями выполненные в соответствии с требованиями ГОСТ Р 52875.', 'Входы в вышеуказанные учебные корпуса университета оборудованы пандусами в соответствии с требованиями к доступности среды для маломобильных граждан СНиП 35.01.2001, СП 42.13330, ГОСТ Р 51261, ГОСТ Р 52875.', 'С целью обеспечения принятия коллегиальных решений по вопросам организации образовательного процесса для инвалидов и лиц с ограниченными возможностями здоровья, определения основных направлений и координации работы по развитию инклюзивного образования в университете приказом ректора создана постоянно действующая комиссия.', 'Для выполнения Требований к организации образовательного процесса для обучения инвалидов и лиц с ограниченными возможностями здоровья в институте утвержден План мероприятий по организации образовательного процесса для обучения инвалидов и лиц с ограниченными возможностями здоровья.', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)","(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","(['Информация для абитуриентов и студентов с инвалидностью и лиц с ограниченными возможностями здоровья', 'Возможности и условия для получения образования обучающимися с ограниченными возможностями'],)",http://mospolytech.ru/index.php?id=5350
