link,count_analytics,googl_anal,text,yandex_metrick,h2,title,description,h1,keyword
https://passport.yandex.ru/auth?origin=metrica&retpath=https%3A%2F%2Fmetrika.yandex.ru%2Fdashboard%3Fid%3D24882404%26from%3Dinformer,,no,"(['Логин', 'Пароль', 'Чужой компьютер', 'Войти', 'ru', 'Помощь', '© 2001-2017, ', 'Яндекс'],)",no,"([],)",Авторизация,"([],)","([],)","([],)"
http://edc.mospolytech.ru/,,no,"(['ЦЕНТР РАЗВИТИЯ ИНЖИНИРИНГА', '\n\t  \t\t \t\t', 'МОСКОВСКИЙ ПОЛИТЕX', ' \nСтуденты университета могут выбрать для участия одну из образовательных лабораторий Центра, где им предстоит в течение одного учебного года разработать инженерный продукт, произвести его на профессиональном оборудовании в технопарке Центра, а затем представить проект на международных соревнованиях.\n\n\t\t\t', '\n\t\t\t\t', '\n\t\t\t\t\t\xa0\xa0\xa0\xa0\xa0\xa0В 2015 году выпускники Университета машиностроения при активной поддержке ректора Николаенко Андрея Владимировича открыли на его территории Центр развития инжиниринга (ЦРИ).', '\n\t\t\t\t\t\xa0\xa0\xa0\xa0Центр помогает решать инжиниринговые задачи разных уровней – от поиска идеи до производства конечного продукта.', '\n\t\t\t\t\t\xa0\xa0\xa0\xa0Клиенты центра – это студенты, преподаватели, сотрудники университета, а также технические специалисты или неспециалисты сторонних организаций.', '\n\t\t\t\t\t\xa0\xa0\xa0\xa0\xa0Мы создаем экосистему, в которой школьники знакомятся с инженерными профессиями, студенты разрабатывают проекты, компании находят своих сотрудников, изобретатели производят ноу-хау, а люди с ограниченными возможностями приспосабливает под себя предметы быта.', '\n\t\t\t\t\t\xa0\xa0\xa0\xa0\xa0\xa0В центре базируются 5 студенческих инженерных проектов, проводятся лекции и мастер-классы для школьников, проходят дни открытых дверей для профильных компаний, работает производственный комплекс, специалисты центра организовывают и проводят выездные инженерные мероприятия.', '\n\t\t\t\t\t\xa0\xa0\xa0\xa0\xa0Двери центра открыты для всех, кто готов следовать законам физики и правилам техники безопасности.', '\n\t\t\t\t', '\n\nНа сегодняшний день в Центре представлены четыре образовательных лаборатории.', '\n', 'Цель лабораторий: Подготовка новых кадров и повышение профессиональных компетенций обучающихся университета в сфере перспективных инженерных специальностей.', 'Студенты вуза объединяются в команду и распределяют между собой должностные обязанности. За один учебный год они проектируют, рассчитывают и изготовляют, согласно регламенту, прототип одноместного гоночного автомобиля класса «формула», разрабатывают бизнес-план серийного производства и работают с компаниями-спонсорами. ', ' ', '\n   Впоследствии, проект студентами представляется на международном этапе жюри, состоящему из автомобильных инженеров, конструкторов, экономистов, менеджеров ведущих машиностроительных предприятий.', ' ', '\n   Заключительный этап защиты проекта - гонки, наглядно демонстрирующие результат студенческого труда.', ' ', ' 2006 г.', ' \n', ' участие в международных инженерных соревнованиях Formula SAE', ' \n', ' одноместный гоночный болид', ' \n', ' ', ' \n3 человека – руководители', ' \n25 человек  (за 1 учебный год) – студенты', ' \n', ' 6 месяцев', ' \n', ' 8', ' \n', '\n— Германия', '\n— Австрия', '\n— Венгрия', '\n— Италия', '\n— Эстония', '\n', ' \n— 1 место на  этапе Формула Студент Австрия в дисциплине «Cost Report»\n', '   \n\n', '   Smartmoto сhallenge – серия международных студенческих инженерных соревнований в области энергоэффективности на транспорте. За учебный год команды студентов технических вузов  проектируют, строят  и испытывают легкий мотоцикл на электрической тяге. Базовые комплектующие, такие как электромотор, блок управления и аккумулятор предоставляет главный спонсор соревнований - компания ELMOTO.', '\nСудьями соревнований выступают известные отраслевые предприниматели и эксперты – инженеры, экономисты и дизайнеры.', ' 2013 г.', '\n', ' участие в международных инженерных соревнованиях Smartmoto Challenge', '\n', '  электромотоцикл', '\n', ' ', '\n4 человека – руководство', '\n15 человек  (за 1 учебный год) – студенты', '\n', ' 3 месяца', '\n', ' 5', '\n', '\n— Испания', '\n— Россия', '\n', '\n— Чемпион мира 2013', '\n— Чемпион мира 2015', '\n', '   \n\n', 'Композитные материалы – это материалы, зародившиеся в авиационной отрасли и спустя несколько десятилетей, эти материалы начинают проникать в нашу повседневную жизнь. Известно, что композиты отличаются своими прочностными и весовыми свойствами и в ближайшее десятилетие прогнозируется крайне высокий спрос на специалистов по работе с композитными материалами. ', ' ', '\n   Это и послужило поводом для создания в Московском Политехе лаборатории «Композитные материалы», где студенты в процессе обучения в университете смогут пройти практико-ориентированный курс по работе с композитами.', ' ', '\n\t\t\t\t\t\t        ', '   \n\n', '   На базе лаборатории создается проектная группа по постройке беспилотного транспортного средства совместно со студентами барселонского университета Politècnica de Catalunya', '   \n\n', '   Технопарк ЦРИ – это инженерно-технологический комплекс Центра, охватывающий все процессы создания инженерного продукта студентами: от создания концепции до готового продукта. Технопарк состоит из трех отделов: организационный, инжиниринговый и производственный.', '   Детский технопарк - это детский инженерно-технологический комплекс, который охватывает ряд образовательных программ, направленных на развитие молодых талантов, их профессиональных умений и навыков по техническим дисциплинам. \t', '  \n\t\t\t\t\t\t\t\tДетский технопарк включает в себя 4 направления: ', '\n\t\t\t\t\t\t\t\t-\t«Аэрокосмическая инженерия» ', '\n\t\t\t\t\t\t\t\t-   «Автоконструирование и расчеты» ', '\n\t\t\t\t\t\t\t\t-\t«Беспилотная техника» ', '\n\t\t\t\t\t\t\t\t-\t«Транспортный дизайн» ', '\n\t\t\t\t\t\t\t\tКонтактная информация: ', '\n', '   \n\n', '\n\t\t\t\t', '\n\n\t\t\tТехнопарк ЦРИ – это инженерно-технологический комплекс Центра, охватывающий все процессы создания инженерного продукта студентами: от создания концепции до готового продукта. Технопарк состоит из трех отделов: организационный, инжиниринговый и производственный.', 'Размеры рабочего стола: 700 х 450 мм', '\nРабочая зона: 600 х 450', '\nХода по осям X/Y/Z: 600/450/480 мм', '\nОбрабатываемые материалы: сплавы цветных металлов, пластики\n', 'Максимальный диаметр обработки: 200 мм', '\nПоперечный ход (X): 160 мм', '\nПродольный ход (Z): 450 мм', '\nИнструментальный револьвер: с приводным инструментом', '\nОбрабатываемые материалы: стали, сплавы цветных металлов, пластики\n', 'Рабочая поверхность стола 1120х260 мм', '\nХод стола по осям X, Y 600х300 мм', '\nОбрабатываемые материалы: стали, сплавы цветных металлов, пластики\n', 'Наибольший диаметр обрабатываемого изделия: 325 мм', '\nРасстояние между центрами: 750 мм', '\nОбрабатываемые материалы: стали, сплавы цветных металлов, пластики\n', 'Размер обрабатываемой поверхности: 3000х1500 мм', '\nМаксимальная толщина реза: 300 мм', '\nОбрабатываемые материалы: без ограничений (металлы, пластики, композитные составы, дерево, камень, стекло и т.д.)\n', 'Тип станка: полуавтоматический, с дорном', '\n\t\t\t\t\t\t\t\t\tЧПУ-управление: по 1-й координате (автоматическая гибка)\n\t\t\t\t\t\t\t\t\t', 'Используемая технология: лазерная стереолитография (фотополимеризация, SLA)', '\nМаксимальный размер деталей (ДxШxВ): 266 x 178 x 193 мм', '\nТолщина слоя построения: 0,025 - 0,1 мм', '\n', '\nТип: Пластик АБС', '\nПрочность на разрыв: 28,2 МПа', '\nУдлинение при разрыве: 1,3 %', '\nМодуль упругости при растяжении: 2 586 МПа', '\nПрочность на изгиб при разрыве: 56,8 МПа ', '\nМодуль упругости при изгибе: 1 880 МПа', '\nТвердость по Шору: 88 D', '\nУдарная вязкость по Изоду: 2,5 КДж/м2', '\nТемпература термической деформации при 1,8 МПа: 48,9°С', '\nТемпература термической деформации при 0,46 МПа: 80°С\n', 'Минимальная зона сканирования: 66х50х50 мм', '\nМаксимальная зона сканирования: без ограничений', '\n3D разрешение: 0,05-0,35 мм', '\nФормат данных на выходе: STL', '\nДля сканирования объекта его необходимо покрывать матирующим спреем\n', 'Тип: TIG/MMA АC/DC ', '\nМакс. ток: 200А ', '\nИспользуемый газ при сварке: Аргон', '\nУниверсален для работ любой сложности', '\n', 'Учащимся школ, ссузов и вузов предлагается создать  на базе технопарка инженерную команду, перед которой ставится цель спроектировать, создать, настроить и испытать полностью действующий дистанционно пилотируемый прототип транспортного средства с любым типом силовой установки, кроме двигателей, работающих на продуктах, полученных из нефти (бензин, керосин, дизельное топливо) согласно единому регламенту, разработанному в рамках данного проекта.', ' ', '\n\t\t\t\t\t\t          ', ' 2015 г.', '\n', ' подготовка инженеров нового поколения через погружение учащихся школ, ссузов и вузов в проектную деятельность с применением соревновательной составляющей', '\n', ' \n3 – руководство', '\nболее 100 – учащиеся', '\n', ' 6 месяцев', '\n', '\n— Республика Татарстан', '\n— Алтайский край', '\n— Московская область', '\n— Ханты-Мансийский Автономный округ (Югра)\n', 'Smartmoto challenge Moscow – это международные студенческие инженерные соревнования в области энергоэффективности на транспорте. ', '\nЗа учебный год команды студентов технических вузов  проектируют, строят  и испытывают легкий мотоцикл на электрической тяге. Базовые комплектующие, такие как электромотор, блок управления и аккумулятор предоставляет главный спонсор соревнований - компания ELMOTO. Судьями соревнований выступают известные отраслевые предприниматели и эксперты – инженеры, экономисты и дизайнеры.', ' 2013 г.', '\n', ' предоставление возможности студентам поработать над реальными проектом по разработке лёгкого электромотоцикла', '\n', ' ', '\n7 человек – организаторы', '\n10 человек – волонтёры', '\n100 человек (за 1 учебный год) – участники (студенты)', '\n', ' 6 месяцев', '\n', '\n— Россия', '\n', '«Картинг без границ» — первые соревнования на картах для людей с нарушениями опорно-двигательного аппарата.', '\n\nДля уникальных гонок были построены специальные карты, которыми можно управлять без помощи ног. Специфика задания заключалась в том, что карт должен обеспечивать максимальную безопасность пилота. Для этого конструкция была дополнена современной электроникой, ремнями безопасности, удерживающими пилота, и специальной дугой, защищающей при переворотахю. Управление газом и тормозом карта осуществляется с помощью рычагов, расположенных за рулевым колесом. В остальном же характеристики карта не изменились: он может так же динамично разгоняться и развивать скорость до 60 км в час.', ' 2013 г.', '\n', ' проект направлен на социализацию людей с ограниченными возможностями через автоспорт', '\n', ' ', '\n5 человек – организаторы', '\n70 человек (за 1 мероприятие) – участники', '\n', ' 1 месяц', '\n', ' 3', '\n', '\n— Россия', '\n', 'Московские инженерно-спортивные соревнования (МИСС) — серия инженерных соревнований для учащихся школ, ссузов и вузов. ', '\n\n\t\t\t\t\t\t          За 1 месяц учащиеся школ конструируют полноприводную радиоуправляемую модель автомобиля, оснащенную системой дистанционного управления, учащиеся средних учебных заведений проектируют, строят  и испытывают легкий мотоцикл на электрической тяге. Самая сложная задача стоит перед студентами вузов – собрать и запрограммировать робота-андроида, который должен преодолеть три испытания: пройти лабиринт, станцевать и победить противника на ринге. ', ' 2013 г.', '\n', ' подготовка инженеров нового поколения через погружение учащихся школ, ссузов и вузов в проектную деятельность с применением соревновательной составляющей', '\n', ' \n5 человек – организаторы', '\n50 человек (за 1 учебный год) – участники (учащиеся)', '\n', ' 3 месяца', '\n', '\n— Россия', '\n', 'EDUCAR - это детский образовательный набор, состоящий из комплектующих, имитирующих реальные детали автомобиля и образовательной программы по автомобилестроению в виртуальной реальности.', '\n\n\t\t\t\t\t\t          За 1 год учащиеся школ конструируют полноприводную радиоуправляемую модель автомобиля, оснащенную системой дистанционного управления. \n\t\t\t\t\t\t\tБлагодаря высокой точности деталей и грамотной структуре образовательной программы дети до 14 лет получают всю необходимую информацию, чтобы сфомировать для себя полное представление о работе автомобиля. ', ' 1:8', '\n', ' 5510 г', '\n', ' 30 км/ч', '\n', ' 20 мин', '\n', ' полный', '\n', ' 664 мм', '\n', ' 400 мм', '\n', ' 280 мм', '\n', ' 40 мм ', '\n', ' 95 000,00 р./шт. ', '\n', '\n\t\nОбразовательная программа включает:', '\n— Техническое руководство по сборке и эксплуатации конструктора Educar', '\n— VR-очки ', '\n— Курс лекций подготовленный в формате виртуальной реальности ', '\n— Уникальная программная платформа EDUCAR для смартфонов с возможностью воспроизведения лекций в формате виртуальной реальности, а так же осуществление индивидуальной поддержки пользователей в реальном времени.', '\n', ' 2 200 000,00 р. ', '\n', 'EDUVEL - это детский образовательный набор, состоящий из комплектующих, имитирующих реальные детали автомобиля и образовательной программы по автомобилестроению в виртуальной реальности.', '\n\n\t\t\t\t\t\t          За 1 год учащиеся школ конструируют заднеприводную модель веломобиля. \n\t\t\t\t\t\t\tБлагодаря высокой точности деталей и грамотной структуре образовательной программы дети до 14 лет получают всю необходимую информацию, чтобы сфомировать для себя полное представление о работе автомобиля. ', ' 1:1', '\n', ' 45 кг ', '\n', ' 30 км/ч', '\n', ' 40 мин', '\n', ' полный', '\n', ' 2050 мм', '\n', ' 790 мм ', '\n', ' 1360 мм', '\n', ' 20 мм ', '\n', ' 280 000,00 р./шт. ', '\n', '\n\t\nОбразовательная программа включает:', '\n— Техническое руководство по сборке и эксплуатации конструктора ', 'EDUVEL', '\n— VR-очки ', '\n— Курс лекций подготовленный в формате виртуальной реальности ', '\n— Уникальная программная платформа для смартфонов с возможностью воспроизведения лекций в формате виртуальной реальности, а так же осуществление индивидуальной поддержки пользователей в реальном времени.', '\n', ' ', ' 2 200 000,00 р. ', '\n', '\n\t\t\t\t\t\t        ', 'EDUDRON - это образовательный конструктор широкого применения в таких сферах как:', '\n\n- Картографическая съемка ', '\n- Фермерское и сельское хозяйство ', '\n- Спасательные операции и скорая помощь ', '\n- Археология и картография ', '\n- Службы доставки ', '\n- Определение территорий, подвергшихся стихийным бедствиям ', '\n- Метеорологические исследования ', ' 600 мм', '\n', ' МS5611-08BA03', '\n', ' 450 г', ' \n', ' 320*160*60', '\n', ' 800 м', '\n', ' MPU-6000', '\n', ' 8,6~15В', '\n', ' 320*480 ', '\n', ' 80 000,00 р./шт.\xa0\n', '\n\tОбразовательная программа включает:', '\n— Техническое руководство по сборке и эксплуатации конструктора EDUDRON', '\n— VR-очки ', '\n— Курс лекций подготовленный в формате виртуальной реальности ', '\n— Уникальная программная платформа для смартфонов с возможностью воспроизведения лекций в формате виртуальной реальности, а так же осуществление индивидуальной поддержки пользователей в реальном времени.', '\n', ' ', ' 2 200 000,00 р. ', '\n', '\n', '\n\t\t\t\t', 'В наше время сложно найти человека, который не любит скорость — она позволяет ощутить колоссальный спектр эмоций, дает возможность почувствовать свободу.Наиболее доступной возможностью испытать эти эмоции является картинг.', 'Телеканал НТВ в программе ""Акценты недели"" посетили инженерно-конструкторскую школу в ВДЦ ""Орленке"", где работники Центра развития инжиниринга работали с инженерными талантами в направлении ""Конструирование автомобилей и стратегический транспорт"".', 'Телеканал НТВ в программе ""Акценты недели"" посетили инженерно-конструкторскую школу в ВДЦ ""Орленке"", где работники Центра развития инжиниринга работали с инженерными талантами в направлении ""Конструирование автомобилей и стратегический транспорт""', 'ул. Большая Семёновская, д. 38, Н-114', '+7(495)223-05-23 (доб.1557)', '  Москва, ул. Б.Семёновская, д. 38, Н-114', '\n\t\t\t\t\t\t', '  +7(495)223-05-23 (доб.1557)', '\n\t\t\t\t\t\t', ' ', ' ', '\n\t\t\t\t\t\t', ' ', ' ', '\n\t\t\t\t\t\t', ' ', ' '],)",no,"(['«Картинг без границ»', '«Лифт в будущее»'],)", Центр развития инжиниринга ,"(['Центр развития инжиниринга'],)","(['Выдающиеся личности формируются не посредством красивых речей, а собственным трудом и его результатами', 'О ЦЕНТРЕ', 'Кто хочет работать – ищет средства, кто не хочет – причины', 'ОБРАЗОВАТЕЛЬНЫЕ ЛАБОРАТОРИИ И ТЕХНОПАРК', 'Хорошо летают только красивые самолеты', 'ПРОИЗВОДСТВЕННЫЕ ЛАБОРАТОРИИ', 'ПРОЕКТЫ ТЕХНОПАРКА', 'Ученые изучают мир, как он есть. Инженеры создают мир, которого раньше не было', 'СМИ о нас', 'Мы находимся в Москве', 'СПАСИБО, ЧТО ПОСЕТИЛИ НАС'],)","([],)"
http://lib.mami.ru/,,no,"(['Телефон: ', '(495) 223-05-23 доб. 1307', 'Телефон:', ' ', '(495) 223-05-23 доб.3210', 'Телефон:', ' ', '(495) 276-34-41', 'Телефон: ', '(499) 976-13-67', 'Телефон:', ' ', '(495) 607-36-53', 'Телефон:', ' ', '(499) 900-38-22'],)",no,"(['Тестовые доступы к ЭБС', 'ул. Б.Семеновская, 38', 'ул.Павла Корчагина, 22', 'ул.Автозаводская, 16', 'ул. Прянишникова, 2А', 'ул. Садовая-Спасская, 6', 'ул. 800-летия Москвы, 28корп.1', 'О Библиотечно-информационном центре'],)",Библиотечно-информационный центр Московского Политеха,"([],)","([],)","([],)"
http://mospolytech.ru/index.php?id=44,,yes,"(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Горячая линия', 'Здесь Вы можете сообщить об известных Вам фактах коррупции. Каждое сообщение будет тщательно проверено, поэтому мы рекомендуем оставлять контактную информацию. Конфиденциальность гарантируем.\xa0', 'Помните об уголовной ответственности за клевету!', '\xa0', '\r\n\r\n  ', '\r\n  ', '\xa0', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)",yes,"([],)",Московский Политех - Горячая линия,"(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","([],)","(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)"
http://stud.mami.ru/,,no,"(['ПОЛИТЕХА', 'в личный кабинет обучающегося и преподавателя \r\n', 'Московского Политеха', 'личный кабинет', ' ', 'Внимание! Для первого входа в личный кабинет необходимо получить  ', ' (код студента) в своем ', '. В качестве ', ' используйте Вашу ', ' (с ', ' первой буквой, остальные строчные, например ', '). После успешной авторизации Вы можете поменять логин и пароль в личном кабинете (раздел «', '»). ', 'Обратите внимание, что буквы в выданном в Центре по работе со студентами пароле (в виде ', ' или ', ' ) должны быть набраны в ', ' раскладке ', '. Перед русской буквой «М» стоит цифра «ноль» - 0 (но не буква «О»). Обязательно указывайте ', ' (-) в пароле. ', 'Если выданный центром пароль не подходит -  воспользуйтесь ', ', при этом укажите в сообщении вводимые логин и пароль,  свои ФИО полностью, дату рождения и группу.', 'Логином служит Ваша ', ' (с ', ' первой буквой, остальные строчные, например ', '). Если Вы не получали письмо с паролем, воспользуйтесь ', '. При этом в сообщении укажите свои ФИО полностью, дату рождения, кафедру и должность.', '\xa0', 'Вы также можете ', ', если в своем аккаунте указывали адрес электронной почты. ', 'Обратитесь в свой ', '. Пароль имеет вид ', ' или ', '. Перед русской заглавной буквой «М» стоит цифра «ноль» - 0 (но не буква «О»). Не забывайте ', ' (-) в пароле.', '\r\n  '],)",no,"(['НОВОСТИ ', 'Добро пожаловать ', 'Вход в ', 'Нет пароля? '],)",Личный кабинет обучающегося и преподавателя Московского Политеха,"([],)","([],)","([],)"
http://mospolytech.ru/index.php?id=3747,,yes,"(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Противодействие терроризму и экстремизму', '15 ноября 2017 года в Высшей школе управления и права Московского Политеха прошла I конференция «Власть и общество в противодействии терроризму», на которой обсуждали методы противодействия террористическим и экстремистским сообществам и защиту от террористической угрозы в on-line пространстве.', '\xa0', 'Ответственный за организацию и контроль деятельности по профилактике противодействия идеологии терроризма и экстремизма в Московском Политехе Олег Семёнов отметил, что в современных условиях возрастает значимость вопросов профилактики экстремизма. Общество осознало, что экстремизм и терроризм используется как инструмент для реализации политических задач. Экстремистские организации, активно используя современные информационные технологии, осуществляют идеологическую обработку молодых людей с целью обеспечения постоянного пополнения рядов своих сторонников.', 'Директор ВШУиП Московского Политеха Николай Михайлович ', 'Фёдоров\xa0', 'отметил, что ни один житель нашей страны не застрахован от зла, которое именуется «терроризмом». Сейчас в России развивается государственная программа патриотического воспитания, внесены изменения в\xa0Федеральный закон «Об\xa0образовании в Российской Федерации», концепция которого неразрывно связывает задачи воспитания и\xa0обучения. Все это способствует защите молодежи от\xa0радикальных и\xa0экстремистских идеологических течений.', 'С тематическими докладами перед участниками конференции выступили преподаватели вуза, представители научного и экспертного сообщества Сергей Заславский, Сергей Мерзляков, Владислав Березуцкий и другие.', 'По мнению большинства докладчиков и выступавших, международный терроризм сегодня приобрел принципиально новые качества. Ответственность в противостоянии терроризму должны взять на себя наиболее видные и влиятельные представители общественности, религиозные деятели и парламентарии.', ' ', 'По итогам конференции участники высказали единодушную позицию о необходимости проведения подобного мероприятия на регулярной основе. В частности, было предложено провести II конференцию в 2018 году с привлечением представителей филиалов Московского Политеха, а также расширить географию участников конкурса докладов и проектов.', 'Конференция проводилась в соответствии с решением Президиума Совета ректоров от 12.04.2017 года о мониторинге внедрения в учебный процесс вузов Москвы рекомендованной Минобрнауки России дополнительной образовательной программы «Гражданское население в противодействии распространению идеологии терроризму».\xa0', 'Пособие обладает системной структурой изложения, четко определяет предмет рассмотрения и характеризуется системным подходом к предотвращению насильственного экстремизма. В пособии содержатся полезные практические советы по организации педагогического процесса и общению с молодежью.\xa0', 'Методическое пособие по предотвращению насильственного экстремизма', '.', '.\xa0', 'создан и функционирует интернет-ресурс «Интерактивная карта антитеррористической деятельности в образовательных организациях и научных учреждениях Российской Федерации»\xa0', 'Интерактивная карта доступна по адресу\xa0', 'На Интерактивной карте размещаются сведения о различных мероприятиях, таких как форумы, семинары и выставки, включая программы, итоговые отчеты и резолюции. Карта предназначена для обеспечения прозрачности и повышения эффективности профилактической работы в образовательных организациях и научных учреждениях.\xa0', '\r\n', '\r\n', 'Терроризм сегодня –\xa0одна из главных угроз цивилизации, доказавшая за последнее время\xa0 свою крайнюю жестокость. Террористическая угроза –\xa0это каждодневная реальность, к отражению которой надо быть готовыми всегда. Для террориста человеческая жизнь не имеет никакой ценности, и активная гражданская позиция каждого –\xa0необходимое условие успешного противостояния.', '\r\n', 'Портал\xa0«Наука и образование против террора» создан с целью продвижения доступной для понимания пользователей информации о позиции научного сообщества по проблематике антитеррористической деятельности, ее социально-экономических аспектах, эффективности действий всех ветвей российской власти на данном направлении.', '\r\n', 'Участники \xa0Проекта\xa0— \xa0преподаватели, сотрудники и студенты высших учебных заведений России, российские и зарубежные специалисты в области противодействия терроризму \xa0— ставят задачу объединить ученых, преподавателей и студентов \xa0российских вузов для \xa0научного противодействия насилию и террору.', '\r\n', 'Портал оказывает информационную поддержку проводимых и планируемых научных конкурсов и конференций по антитеррористической тематике, в т.ч. с участием представителей\xa0 СНГ.', '\r\n', 'Основные задачи сайта:', '\r\n', 'Целенаправленное освещение всех аспектов проблемы террористической угрозы обществу.', 'Создание условий для нравственного и патриотического воспитания молодежи России, формирование у нее активной жизненной позиции в неприятии терроризма и экстремизма.', 'Освещение вопросов исторического, религиозного и национального характера, имеющих отношение к возникновению терроризма, помогающих в разоблачении его античеловечной идеологии.', 'Пропаганда социально значимых ценностей общества, мирного межнационального и межконфессионального диалога.', 'Воспитание у молодежи устойчивого протестного неприятия идеологии терроризма и экстремизма.', '\r\n', 'Адрес сайта: ', '\r\n', '21 ноября в Коломенском институте (филиале) Московского Политеха прошла конференция на тему «Противодействие идеологии терроризма и экстремизма в образовательной сфере и молодежной среде». С докладом выступил советник при ректорате Московского Политеха – Владимир Вакуленко.', ' ', 'Конференция прошла в рамках реализации мероприятий Комплексного плана противодействия идеологии терроризма в Российской Федерации на 2013-2018 годы. По окончании конференции советник ответил на вопросы, интересующие студентов в индивидуальном порядке.', 'Материалы доклада освещены на официальном сайте Коломенского института.', '\xa0', ' ', 'Материалы конференции будут размещены на информационных ресурсах Чебоксарского института и на сайте Московского политеха.', '\xa0', ' ', 'По инициативе Минобрнауки России, в рамках реализации мероприятий Комплексного плана Противодействия идеологии терроризма в Российской Федерации на 2013-2018 годы, в г. Москве 27-28 сентября проходила III Всероссийская научно-практическая конференция «Противодействие идеологии терроризма и экстремизма в образовательной сфере и молодежной среде».', 'Московский политехнический университет\xa0 на данной конференции представлял советник при ректорате по комплексной безопасности Владимир Вакуленко.', 'Площадку для проведения конференции предоставил университет МГИМО МИД России, среди приглашенных были представители Минобрнауки, Национального антитеррористического комитета России, а также правительства г. Москвы. В практической части конференции университет был представлен на секции № 2 «Формы и методы информационного противодействия идеологии терроризма в образовательной сфере и молодежной среде».', 'Материалы конференции будут изданы отдельным сборником, а также размещены в информационно-телекоммуникационной сети «Интернет», а также на сайте Московского политеха.\xa0\xa0', 'Сообщить информацию о противоправном интернет-ресурсе или аккаунте в социальных сетях для анализа экспертами и последующей передачи в Генеральную проруратуру Российской Федерации и Роскомнадзор в целях ограничения доступа — с помощью ', '.', 'В целях недопущения возможного обострения обстановки на территории г. Москва в  преддверии праздничных мероприятий, посвященных 71-й годовщине Победы в Великой  Отечественной войне 1941-1945 гг. и Чемпионата мира по хоккею, просим вас  остерегаться провокационных действий, направленных на возбуждение ненависти или  вражды, унижения достоинства человека, либо группы лиц по признакам пола, расы,  национальности и языка.', '12-13 ноября 2015 г. в здании Минобрнауки России на ул. Люсиновской, 51 прошла конференция, посвященная обеспечению безопасности в образовательных организациях.', 'В президиум конференции вошли первый заместитель Министра образования и науки РФ Наталья Третьяк, депутат Государственной Думы Российской Федерации, заместитель председателя комитета по безопасности и противодействию коррупции Александр Хинштейн, первый заместитель председателя Комитета Совета Федерации по науке, образованию\xa0 и культуре Лилия Гумерова, заместитель председателя Комитета Государственной Думы Федерального Собрания РФ по образованию Надежда Шайденко, первый заместитель руководителя аппарата Национального антитеррористического комитета Евгений Ильин. Пленарное заседание вел директор Департамента государственной службы, кадров и управления делами Министерства образования и науки РФ Владимир Голубовский.', 'В своих докладах представители государственных ведомств коснулись таких тем, как государственная политика и правовое обеспечение безопасности образовательных организаций, а также обсудили основы профилактики экстремистской деятельности в молодежной среде.', 'В основной части первого дня конференции были рассмотрены конкретные примеры обеспечения комплексной безопасности в образовательных организациях. В частности, руководитель Всероссийского научно-исследовательского института по проблемам гражданской обороны и чрезвычайных ситуаций МЧС России Валерий Акимов рассказал об организации комплексной безопасности в международном детском центре «Артек». Кроме того, перед собравшимися выступили министры образования и науки Чеченской Республики, республики Башкортостан и Ставропольского края, коснувшись ключевых аспектов обеспечения безопасности на примере своих регионов.', 'Директор Департамента государственной службы, кадров и управления делами Министерства образования и науки РФ Владимир Голубовский выступил с докладом о роли информационно-аналитических систем как инструмента повышения безопасности образовательных и научных организаций.', 'Представители образовательных организаций и государственных ведомств, а также специалисты по безопасности рассказали о профилактике возникновения угроз безопасности в образовательных учреждениях, о современных методах и форматах работы с молодежью, о воспитательной работе в поликультурном и многонациональном пространстве российского общества. По итогам дискуссий были приняты итоговые резолюции мероприятия. \xa0', 'Помимо основной части конференции, в фойе министерства участники мероприятия могли ознакомиться с выставкой современных систем безопасности организаций, оборудования для выявления в толпе лиц с неадекватным поведением, а также фрагмент экспозиции «Память Беслана».\xa0', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)",yes,"([],)",Московский Политех - Противодействие терроризму и экстремизму,"(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","([],)","(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)"
