link,h2,text,count_analytics,yandex_metrick,keyword,title,googl_anal,h1,description
https://passport.yandex.ru/auth?origin=metrica&retpath=https%3A%2F%2Fmetrika.yandex.ru%2Fdashboard%3Fid%3D24882404%26from%3Dinformer,"([],)","(['Логин', 'Пароль', 'Чужой компьютер', 'Войти', 'ru', 'Помощь', '© 2001-2017, ', 'Яндекс'],)",,no,"([],)",Авторизация,no,"([],)","([],)"
,,,,,,,,,
,,,,,,,,,
http://edc.mospolytech.ru/,"(['«Картинг без границ»', '«Лифт в будущее»'],)","(['ЦЕНТР РАЗВИТИЯ ИНЖИНИРИНГА', '\n\t  \t\t \t\t', 'МОСКОВСКИЙ ПОЛИТЕX', ' \nСтуденты университета могут выбрать для участия одну из образовательных лабораторий Центра, где им предстоит в течение одного учебного года разработать инженерный продукт, произвести его на профессиональном оборудовании в технопарке Центра, а затем представить проект на международных соревнованиях.\n\n\t\t\t', '\n\t\t\t\t', '\n\t\t\t\t\t\xa0\xa0\xa0\xa0\xa0\xa0В 2015 году выпускники Университета машиностроения при активной поддержке ректора Николаенко Андрея Владимировича открыли на его территории Центр развития инжиниринга (ЦРИ).', '\n\t\t\t\t\t\xa0\xa0\xa0\xa0Центр помогает решать инжиниринговые задачи разных уровней – от поиска идеи до производства конечного продукта.', '\n\t\t\t\t\t\xa0\xa0\xa0\xa0Клиенты центра – это студенты, преподаватели, сотрудники университета, а также технические специалисты или неспециалисты сторонних организаций.', '\n\t\t\t\t\t\xa0\xa0\xa0\xa0\xa0Мы создаем экосистему, в которой школьники знакомятся с инженерными профессиями, студенты разрабатывают проекты, компании находят своих сотрудников, изобретатели производят ноу-хау, а люди с ограниченными возможностями приспосабливает под себя предметы быта.', '\n\t\t\t\t\t\xa0\xa0\xa0\xa0\xa0\xa0В центре базируются 5 студенческих инженерных проектов, проводятся лекции и мастер-классы для школьников, проходят дни открытых дверей для профильных компаний, работает производственный комплекс, специалисты центра организовывают и проводят выездные инженерные мероприятия.', '\n\t\t\t\t\t\xa0\xa0\xa0\xa0\xa0Двери центра открыты для всех, кто готов следовать законам физики и правилам техники безопасности.', '\n\t\t\t\t', '\n\nНа сегодняшний день в Центре представлены четыре образовательных лаборатории.', '\n', 'Цель лабораторий: Подготовка новых кадров и повышение профессиональных компетенций обучающихся университета в сфере перспективных инженерных специальностей.', 'Студенты вуза объединяются в команду и распределяют между собой должностные обязанности. За один учебный год они проектируют, рассчитывают и изготовляют, согласно регламенту, прототип одноместного гоночного автомобиля класса «формула», разрабатывают бизнес-план серийного производства и работают с компаниями-спонсорами. ', ' ', '\n   Впоследствии, проект студентами представляется на международном этапе жюри, состоящему из автомобильных инженеров, конструкторов, экономистов, менеджеров ведущих машиностроительных предприятий.', ' ', '\n   Заключительный этап защиты проекта - гонки, наглядно демонстрирующие результат студенческого труда.', ' ', ' 2006 г.', ' \n', ' участие в международных инженерных соревнованиях Formula SAE', ' \n', ' одноместный гоночный болид', ' \n', ' ', ' \n3 человека – руководители', ' \n25 человек  (за 1 учебный год) – студенты', ' \n', ' 6 месяцев', ' \n', ' 8', ' \n', '\n— Германия', '\n— Австрия', '\n— Венгрия', '\n— Италия', '\n— Эстония', '\n', ' \n— 1 место на  этапе Формула Студент Австрия в дисциплине «Cost Report»\n', '   \n\n', '   Smartmoto сhallenge – серия международных студенческих инженерных соревнований в области энергоэффективности на транспорте. За учебный год команды студентов технических вузов  проектируют, строят  и испытывают легкий мотоцикл на электрической тяге. Базовые комплектующие, такие как электромотор, блок управления и аккумулятор предоставляет главный спонсор соревнований - компания ELMOTO.', '\nСудьями соревнований выступают известные отраслевые предприниматели и эксперты – инженеры, экономисты и дизайнеры.', ' 2013 г.', '\n', ' участие в международных инженерных соревнованиях Smartmoto Challenge', '\n', '  электромотоцикл', '\n', ' ', '\n4 человека – руководство', '\n15 человек  (за 1 учебный год) – студенты', '\n', ' 3 месяца', '\n', ' 5', '\n', '\n— Испания', '\n— Россия', '\n', '\n— Чемпион мира 2013', '\n— Чемпион мира 2015', '\n', '   \n\n', 'Композитные материалы – это материалы, зародившиеся в авиационной отрасли и спустя несколько десятилетей, эти материалы начинают проникать в нашу повседневную жизнь. Известно, что композиты отличаются своими прочностными и весовыми свойствами и в ближайшее десятилетие прогнозируется крайне высокий спрос на специалистов по работе с композитными материалами. ', ' ', '\n   Это и послужило поводом для создания в Московском Политехе лаборатории «Композитные материалы», где студенты в процессе обучения в университете смогут пройти практико-ориентированный курс по работе с композитами.', ' ', '\n\t\t\t\t\t\t        ', '   \n\n', '   На базе лаборатории создается проектная группа по постройке беспилотного транспортного средства совместно со студентами барселонского университета Politècnica de Catalunya', '   \n\n', '   Технопарк ЦРИ – это инженерно-технологический комплекс Центра, охватывающий все процессы создания инженерного продукта студентами: от создания концепции до готового продукта. Технопарк состоит из трех отделов: организационный, инжиниринговый и производственный.', '   Детский технопарк - это детский инженерно-технологический комплекс, который охватывает ряд образовательных программ, направленных на развитие молодых талантов, их профессиональных умений и навыков по техническим дисциплинам. \t', '  \n\t\t\t\t\t\t\t\tДетский технопарк включает в себя 4 направления: ', '\n\t\t\t\t\t\t\t\t-\t«Аэрокосмическая инженерия» ', '\n\t\t\t\t\t\t\t\t-   «Автоконструирование и расчеты» ', '\n\t\t\t\t\t\t\t\t-\t«Беспилотная техника» ', '\n\t\t\t\t\t\t\t\t-\t«Транспортный дизайн» ', '\n\t\t\t\t\t\t\t\tКонтактная информация: ', '\n', '   \n\n', '\n\t\t\t\t', '\n\n\t\t\tТехнопарк ЦРИ – это инженерно-технологический комплекс Центра, охватывающий все процессы создания инженерного продукта студентами: от создания концепции до готового продукта. Технопарк состоит из трех отделов: организационный, инжиниринговый и производственный.', 'Размеры рабочего стола: 700 х 450 мм', '\nРабочая зона: 600 х 450', '\nХода по осям X/Y/Z: 600/450/480 мм', '\nОбрабатываемые материалы: сплавы цветных металлов, пластики\n', 'Максимальный диаметр обработки: 200 мм', '\nПоперечный ход (X): 160 мм', '\nПродольный ход (Z): 450 мм', '\nИнструментальный револьвер: с приводным инструментом', '\nОбрабатываемые материалы: стали, сплавы цветных металлов, пластики\n', 'Рабочая поверхность стола 1120х260 мм', '\nХод стола по осям X, Y 600х300 мм', '\nОбрабатываемые материалы: стали, сплавы цветных металлов, пластики\n', 'Наибольший диаметр обрабатываемого изделия: 325 мм', '\nРасстояние между центрами: 750 мм', '\nОбрабатываемые материалы: стали, сплавы цветных металлов, пластики\n', 'Размер обрабатываемой поверхности: 3000х1500 мм', '\nМаксимальная толщина реза: 300 мм', '\nОбрабатываемые материалы: без ограничений (металлы, пластики, композитные составы, дерево, камень, стекло и т.д.)\n', 'Тип станка: полуавтоматический, с дорном', '\n\t\t\t\t\t\t\t\t\tЧПУ-управление: по 1-й координате (автоматическая гибка)\n\t\t\t\t\t\t\t\t\t', 'Используемая технология: лазерная стереолитография (фотополимеризация, SLA)', '\nМаксимальный размер деталей (ДxШxВ): 266 x 178 x 193 мм', '\nТолщина слоя построения: 0,025 - 0,1 мм', '\n', '\nТип: Пластик АБС', '\nПрочность на разрыв: 28,2 МПа', '\nУдлинение при разрыве: 1,3 %', '\nМодуль упругости при растяжении: 2 586 МПа', '\nПрочность на изгиб при разрыве: 56,8 МПа ', '\nМодуль упругости при изгибе: 1 880 МПа', '\nТвердость по Шору: 88 D', '\nУдарная вязкость по Изоду: 2,5 КДж/м2', '\nТемпература термической деформации при 1,8 МПа: 48,9°С', '\nТемпература термической деформации при 0,46 МПа: 80°С\n', 'Минимальная зона сканирования: 66х50х50 мм', '\nМаксимальная зона сканирования: без ограничений', '\n3D разрешение: 0,05-0,35 мм', '\nФормат данных на выходе: STL', '\nДля сканирования объекта его необходимо покрывать матирующим спреем\n', 'Тип: TIG/MMA АC/DC ', '\nМакс. ток: 200А ', '\nИспользуемый газ при сварке: Аргон', '\nУниверсален для работ любой сложности', '\n', 'Учащимся школ, ссузов и вузов предлагается создать  на базе технопарка инженерную команду, перед которой ставится цель спроектировать, создать, настроить и испытать полностью действующий дистанционно пилотируемый прототип транспортного средства с любым типом силовой установки, кроме двигателей, работающих на продуктах, полученных из нефти (бензин, керосин, дизельное топливо) согласно единому регламенту, разработанному в рамках данного проекта.', ' ', '\n\t\t\t\t\t\t          ', ' 2015 г.', '\n', ' подготовка инженеров нового поколения через погружение учащихся школ, ссузов и вузов в проектную деятельность с применением соревновательной составляющей', '\n', ' \n3 – руководство', '\nболее 100 – учащиеся', '\n', ' 6 месяцев', '\n', '\n— Республика Татарстан', '\n— Алтайский край', '\n— Московская область', '\n— Ханты-Мансийский Автономный округ (Югра)\n', 'Smartmoto challenge Moscow – это международные студенческие инженерные соревнования в области энергоэффективности на транспорте. ', '\nЗа учебный год команды студентов технических вузов  проектируют, строят  и испытывают легкий мотоцикл на электрической тяге. Базовые комплектующие, такие как электромотор, блок управления и аккумулятор предоставляет главный спонсор соревнований - компания ELMOTO. Судьями соревнований выступают известные отраслевые предприниматели и эксперты – инженеры, экономисты и дизайнеры.', ' 2013 г.', '\n', ' предоставление возможности студентам поработать над реальными проектом по разработке лёгкого электромотоцикла', '\n', ' ', '\n7 человек – организаторы', '\n10 человек – волонтёры', '\n100 человек (за 1 учебный год) – участники (студенты)', '\n', ' 6 месяцев', '\n', '\n— Россия', '\n', '«Картинг без границ» — первые соревнования на картах для людей с нарушениями опорно-двигательного аппарата.', '\n\nДля уникальных гонок были построены специальные карты, которыми можно управлять без помощи ног. Специфика задания заключалась в том, что карт должен обеспечивать максимальную безопасность пилота. Для этого конструкция была дополнена современной электроникой, ремнями безопасности, удерживающими пилота, и специальной дугой, защищающей при переворотахю. Управление газом и тормозом карта осуществляется с помощью рычагов, расположенных за рулевым колесом. В остальном же характеристики карта не изменились: он может так же динамично разгоняться и развивать скорость до 60 км в час.', ' 2013 г.', '\n', ' проект направлен на социализацию людей с ограниченными возможностями через автоспорт', '\n', ' ', '\n5 человек – организаторы', '\n70 человек (за 1 мероприятие) – участники', '\n', ' 1 месяц', '\n', ' 3', '\n', '\n— Россия', '\n', 'Московские инженерно-спортивные соревнования (МИСС) — серия инженерных соревнований для учащихся школ, ссузов и вузов. ', '\n\n\t\t\t\t\t\t          За 1 месяц учащиеся школ конструируют полноприводную радиоуправляемую модель автомобиля, оснащенную системой дистанционного управления, учащиеся средних учебных заведений проектируют, строят  и испытывают легкий мотоцикл на электрической тяге. Самая сложная задача стоит перед студентами вузов – собрать и запрограммировать робота-андроида, который должен преодолеть три испытания: пройти лабиринт, станцевать и победить противника на ринге. ', ' 2013 г.', '\n', ' подготовка инженеров нового поколения через погружение учащихся школ, ссузов и вузов в проектную деятельность с применением соревновательной составляющей', '\n', ' \n5 человек – организаторы', '\n50 человек (за 1 учебный год) – участники (учащиеся)', '\n', ' 3 месяца', '\n', '\n— Россия', '\n', 'EDUCAR - это детский образовательный набор, состоящий из комплектующих, имитирующих реальные детали автомобиля и образовательной программы по автомобилестроению в виртуальной реальности.', '\n\n\t\t\t\t\t\t          За 1 год учащиеся школ конструируют полноприводную радиоуправляемую модель автомобиля, оснащенную системой дистанционного управления. \n\t\t\t\t\t\t\tБлагодаря высокой точности деталей и грамотной структуре образовательной программы дети до 14 лет получают всю необходимую информацию, чтобы сфомировать для себя полное представление о работе автомобиля. ', ' 1:8', '\n', ' 5510 г', '\n', ' 30 км/ч', '\n', ' 20 мин', '\n', ' полный', '\n', ' 664 мм', '\n', ' 400 мм', '\n', ' 280 мм', '\n', ' 40 мм ', '\n', ' 95 000,00 р./шт. ', '\n', '\n\t\nОбразовательная программа включает:', '\n— Техническое руководство по сборке и эксплуатации конструктора Educar', '\n— VR-очки ', '\n— Курс лекций подготовленный в формате виртуальной реальности ', '\n— Уникальная программная платформа EDUCAR для смартфонов с возможностью воспроизведения лекций в формате виртуальной реальности, а так же осуществление индивидуальной поддержки пользователей в реальном времени.', '\n', ' 2 200 000,00 р. ', '\n', 'EDUVEL - это детский образовательный набор, состоящий из комплектующих, имитирующих реальные детали автомобиля и образовательной программы по автомобилестроению в виртуальной реальности.', '\n\n\t\t\t\t\t\t          За 1 год учащиеся школ конструируют заднеприводную модель веломобиля. \n\t\t\t\t\t\t\tБлагодаря высокой точности деталей и грамотной структуре образовательной программы дети до 14 лет получают всю необходимую информацию, чтобы сфомировать для себя полное представление о работе автомобиля. ', ' 1:1', '\n', ' 45 кг ', '\n', ' 30 км/ч', '\n', ' 40 мин', '\n', ' полный', '\n', ' 2050 мм', '\n', ' 790 мм ', '\n', ' 1360 мм', '\n', ' 20 мм ', '\n', ' 280 000,00 р./шт. ', '\n', '\n\t\nОбразовательная программа включает:', '\n— Техническое руководство по сборке и эксплуатации конструктора ', 'EDUVEL', '\n— VR-очки ', '\n— Курс лекций подготовленный в формате виртуальной реальности ', '\n— Уникальная программная платформа для смартфонов с возможностью воспроизведения лекций в формате виртуальной реальности, а так же осуществление индивидуальной поддержки пользователей в реальном времени.', '\n', ' ', ' 2 200 000,00 р. ', '\n', '\n\t\t\t\t\t\t        ', 'EDUDRON - это образовательный конструктор широкого применения в таких сферах как:', '\n\n- Картографическая съемка ', '\n- Фермерское и сельское хозяйство ', '\n- Спасательные операции и скорая помощь ', '\n- Археология и картография ', '\n- Службы доставки ', '\n- Определение территорий, подвергшихся стихийным бедствиям ', '\n- Метеорологические исследования ', ' 600 мм', '\n', ' МS5611-08BA03', '\n', ' 450 г', ' \n', ' 320*160*60', '\n', ' 800 м', '\n', ' MPU-6000', '\n', ' 8,6~15В', '\n', ' 320*480 ', '\n', ' 80 000,00 р./шт.\xa0\n', '\n\tОбразовательная программа включает:', '\n— Техническое руководство по сборке и эксплуатации конструктора EDUDRON', '\n— VR-очки ', '\n— Курс лекций подготовленный в формате виртуальной реальности ', '\n— Уникальная программная платформа для смартфонов с возможностью воспроизведения лекций в формате виртуальной реальности, а так же осуществление индивидуальной поддержки пользователей в реальном времени.', '\n', ' ', ' 2 200 000,00 р. ', '\n', '\n', '\n\t\t\t\t', 'В наше время сложно найти человека, который не любит скорость — она позволяет ощутить колоссальный спектр эмоций, дает возможность почувствовать свободу.Наиболее доступной возможностью испытать эти эмоции является картинг.', 'Телеканал НТВ в программе ""Акценты недели"" посетили инженерно-конструкторскую школу в ВДЦ ""Орленке"", где работники Центра развития инжиниринга работали с инженерными талантами в направлении ""Конструирование автомобилей и стратегический транспорт"".', 'Телеканал НТВ в программе ""Акценты недели"" посетили инженерно-конструкторскую школу в ВДЦ ""Орленке"", где работники Центра развития инжиниринга работали с инженерными талантами в направлении ""Конструирование автомобилей и стратегический транспорт""', 'ул. Большая Семёновская, д. 38, Н-114', '+7(495)223-05-23 (доб.1557)', '  Москва, ул. Б.Семёновская, д. 38, Н-114', '\n\t\t\t\t\t\t', '  +7(495)223-05-23 (доб.1557)', '\n\t\t\t\t\t\t', ' ', ' ', '\n\t\t\t\t\t\t', ' ', ' ', '\n\t\t\t\t\t\t', ' ', ' '],)",,no,"([],)", Центр развития инжиниринга ,no,"(['Выдающиеся личности формируются не посредством красивых речей, а собственным трудом и его результатами', 'О ЦЕНТРЕ', 'Кто хочет работать – ищет средства, кто не хочет – причины', 'ОБРАЗОВАТЕЛЬНЫЕ ЛАБОРАТОРИИ И ТЕХНОПАРК', 'Хорошо летают только красивые самолеты', 'ПРОИЗВОДСТВЕННЫЕ ЛАБОРАТОРИИ', 'ПРОЕКТЫ ТЕХНОПАРКА', 'Ученые изучают мир, как он есть. Инженеры создают мир, которого раньше не было', 'СМИ о нас', 'Мы находимся в Москве', 'СПАСИБО, ЧТО ПОСЕТИЛИ НАС'],)","(['Центр развития инжиниринга'],)"
http://lib.mami.ru/,"(['Тестовые доступы к ЭБС', 'ул. Б.Семеновская, 38', 'ул.Павла Корчагина, 22', 'ул.Автозаводская, 16', 'ул. Прянишникова, 2А', 'ул. Садовая-Спасская, 6', 'ул. 800-летия Москвы, 28корп.1', 'О Библиотечно-информационном центре'],)","(['Телефон: ', '(495) 223-05-23 доб. 1307', 'Телефон:', ' ', '(495) 223-05-23 доб.3210', 'Телефон:', ' ', '(495) 276-34-41', 'Телефон: ', '(499) 976-13-67', 'Телефон:', ' ', '(495) 607-36-53', 'Телефон:', ' ', '(499) 900-38-22'],)",,no,"([],)",Библиотечно-информационный центр Московского Политеха,no,"([],)","([],)"
http://stud.mami.ru/,"(['НОВОСТИ ', 'Добро пожаловать ', 'Вход в ', 'Нет пароля? '],)","(['ПОЛИТЕХА', 'в личный кабинет обучающегося и преподавателя \r\n', 'Московского Политеха', 'личный кабинет', ' ', 'Внимание! Для первого входа в личный кабинет необходимо получить  ', ' (код студента) в своем ', '. В качестве ', ' используйте Вашу ', ' (с ', ' первой буквой, остальные строчные, например ', '). После успешной авторизации Вы можете поменять логин и пароль в личном кабинете (раздел «', '»). ', 'Обратите внимание, что буквы в выданном в Центре по работе со студентами пароле (в виде ', ' или ', ' ) должны быть набраны в ', ' раскладке ', '. Перед русской буквой «М» стоит цифра «ноль» - 0 (но не буква «О»). Обязательно указывайте ', ' (-) в пароле. ', 'Если выданный центром пароль не подходит -  воспользуйтесь ', ', при этом укажите в сообщении вводимые логин и пароль,  свои ФИО полностью, дату рождения и группу.', 'Логином служит Ваша ', ' (с ', ' первой буквой, остальные строчные, например ', '). Если Вы не получали письмо с паролем, воспользуйтесь ', '. При этом в сообщении укажите свои ФИО полностью, дату рождения, кафедру и должность.', '\xa0', 'Вы также можете ', ', если в своем аккаунте указывали адрес электронной почты. ', 'Обратитесь в свой ', '. Пароль имеет вид ', ' или ', '. Перед русской заглавной буквой «М» стоит цифра «ноль» - 0 (но не буква «О»). Не забывайте ', ' (-) в пароле.', '\r\n  '],)",,no,"([],)",Личный кабинет обучающегося и преподавателя Московского Политеха,no,"([],)","([],)"
http://mospolytech.ru/projects/,"(['Управление проектами'],)","(['\r\n\tПорядок организации проектного управления в университете утвержден приказом от 24.04.2017 г. № 311-ОД в составе Положения об организации и управлении деятельностью университета.', '\r\n\tПорядок определяет маршрут реализации проектов в университете, типовые проектные роли, состав проектной документации.', '\r\n\tИнициатором проекта может быть любой работник и обучающийся университета или стороннее лицо, которое выступает с обоснованием необходимости и возможности реализации проекта.', '\r\n\t', '\r\n  ', '\xa0'],)",,no,"([],)",Московский Политех — Проектное управление,no,"([],)","(['Московский Политех — Обучение руководителей образовательных пограмм'],)"
http://mospolytech.ru/cpv/,"([' АВТОШКОЛА                                         ', '\r\n\t', '\r\n\t'],)","(['ОСНОВНЫЕ СВЕДЕНИЯ', '\r\n\t', 'Центр подготовки водителей (автошкола)', '\r\n\tуправления по развитию и эксплуатации социальных объектов', '\r\n\tфедерального государственного бюджетного образовательного учреждения', '\r\n\tвысшего образования\xa0«Московский политехнический университет»\xa0', '\r\n\t', '\r\n\t', 'Центр подготовки водителей (автошкола) Московского Политеха\xa0', '\r\n\t', ':', '\r\n\tмарт 2017 г.', '\r\n\t', '\r\n\t', '\xa0- \xa0Правительство Российской Федерации.', '\r\n\tПолномочия учредителя осуществляет Министерство образования и науки Российской Федерации.', '\r\n\t', '\r\n\t', '\xa0 77194555593/\xa0', '\xa0', '\r\n\t', '\xa01167746817810\xa0от \xa031.08.2016г., запись о юридическом лице внесена МИ МНС России № 46 по г. Москве, \xa0серия 77 №017844558\xa0', '\r\n\t', '\r\n\t', '\xa0 -\xa0бессрочная\xa0', '\r\n\tрегистрационный №2398; серия 90Л01 №0009465 от 22 сентября 2016 года', '\r\n\t', '\r\n\t107023, г. Москва, ул. Большая Семёновская, д. 38;\xa0', '\r\n\t', '\r\n\t107023, г. Москва, ул. Большая Семёновская, д. 38;\xa0', '\r\n\t', '\r\n\t', '\r\n\t', ', Н', '\r\n\t', ':', '\r\n\tПонедельник – Пятница: \xa0с 10:00 до 19:00', '\r\n\tСуббота,\xa0Воскресенье: \xa0выходной', '\r\n\t', '\r\n\t\xa0Тел.: 8 (495)\xa0223-05-24, 8 (495) 223-05-23 \xa0доб. 1064, 1063', '\r\n\t', '::\xa0', 'http://mospolytech.ru/cpv/', '\r\n\t', '\r\n  ', '\xa0'],)",,no,"([],)",Центр подготовки водителей (автошкола) Московского политеха,no,"([],)","([],)"
http://mospolytech.ru/smartmoto/,"([],)","(['Barcelona Smart Moto Chalenge 2017: как это было', 'Очередная победа за Политехом, и она не последняя!', 'II Международный православный студенческий форум', 'Форум ""Композиты без границ""', 'BARCELONA SMART MOTO CHALLENGE 2016', '19-й Московский международный Салон изобретений и инновационных технологий «Архимед»', 'Всероссийский инженерный конкурс 2015'],)",,no,"([],)", SmartMotoChallenge Team Polytech ,no,"([],)","([],)"
http://abiturientum.ru/cpp/training-courses,"(['Вы здесь', 'Форма поиска'],)","(['ЦЕНТР ПРОФЕССИОНАЛЬНОЙ ПЕРЕПОДГОТОВКИ И ПОВЫШЕНИЯ КВАЛИФИКАЦИИ МОСКОВСКОГО ПОЛИТЕХНИЧЕСКОГО УНИВЕРСИТЕТА', 'Изменение расписания занятий на подготовительных курсах', '\xa0', 'Внимание!', 'Московский Политех продолжает набор на подготовительные курсы ', '\xa0на 2017-2018\xa0учебный год', '\xa0', 'Подготовительные курсы', '\xa0', 'осуществляют подготовку абитуриентов к сдаче ЕГЭ для поступления ', 'в ', 'Московский Политех', '\xa0и другие высшие учебные заведения.', 'По результатам последних лет более 90% абитуриентов, прошедших\xa0', '\nобучение на подготовительных курсах, успешно сдали ЕГЭ', '\n(не менее 65\xa0баллов за предмет)', 'Подготовка абитуриентов осуществляется на технические и экономические', '\nнаправления подготовки и специальности по следующим предметам:', 'Подготовительные курсы Московского политеха\xa0располагаются', '\nв Восточном административном округе -\xa0', '\nи Южном административном округе - \xa0', '\xa0', '\xa0\xa0', '\xa0', '\xa0 \xa0 \xa0 \xa0 \xa0\xa0', '\xa0 \xa0 \xa0 \xa0 \xa0\xa0', '\xa0 \xa0 \xa0 \xa0 \xa0\xa0', '\xa0 \xa0 \xa0 \xa0 \xa0\xa0', '\xa0 \xa0 \xa0 \xa0 \xa0\xa0', 'Вашему вниманию предлагаются подготовительные курсы\xa0', '\xa0\xa0', '\xa0\xa0', 'e-mail: ', '\xa0', 'тел.: (495) 223-0521;', '(495) 223-0523, доб. 1323'],)",,no,"([],)",Подготовительные курсы | ЦЕНТР ПРОФЕССИОНАЛЬНОЙ ПЕРЕПОДГОТОВКИ И ПОВЫШЕНИЯ КВАЛИФИКАЦИИ МОСКОВСКОГО ПОЛИТЕХНИЧЕСКОГО УНИВЕРСИТЕТА,no,"(['\n\t\t\t\t\t\tПодготовительные курсы\t\t\t\t\t'],)","([],)"
