link,h2,h1,text,yandex_metrick,count_analytics,description,keyword,googl_anal,title
http://mospolytech.ru/,"([],)","(['Новости', 'Поступление', 'Федеральные программы', 'Студенческие проекты и команды', 'Кампус', 'Контакты'],)","(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Студенты Московского Политеха – победители конкурса инноваций в промышленном дизайне PUSHKA', 'Открытый отборочный чемпионат по стандартам WorldSkills завершился в Московском Политехе', 'Две серебряных медали получили разработки Московского Политеха на IENA-2017 в Германии', 'Футболисты Московского Политеха – чемпионы мира по футзалу', 'Талантливым школьникам рассказали, как поступить в университет со своим проектом', 'IX открытый Турнир поэтов прошел в Московском Политехе', 'КОНТАКТЫ ', 'МОСКОВСКИЙ ПОЛИТЕХНИЧЕСКИЙ УНИВЕРСИТЕТ ', 'ст. м. «Электрозаводская», ул. Большая Семеновская, 38', 'Приемная комиссия: +7 495 223-05-22', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)",yes,,"(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,Московский Политех - Главная страница
http://mospolytech.ru/index.php?id=55,"(['Информация для держателей банковских карт, получающих стипендию и другие материальные выплаты'],)","([],)","(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Банковские карты', 'Для получения готовой кампусной карты в отделении Сбербанка при себе необходимо иметь:', '- Документ, удостоверяющий личность иностранного гражданина (паспорт);', '- перевод Документа, удостоверяющего личность иностранного гражданина (нотариально заверенный, если в самом паспорте нет страницы с таким переводом);', '- основание пребывания в РФ (виза, миграционная карта и т.п.).', 'Для более комфортного и быстрого обслуживания в Банке просьба также иметь копии следующих документов:', '- паспорта иностранного гражданина;', '- визы;', '- нотариального перевода паспорта;', '- вида на жительство.\xa0', 'Обучающиеся 1 курса могут получить кампусную карту с 30.10.2017 г. в отделении Сбербанка по адресу: г. Москва, ул. Большая Якиманка, д. 18, 2 этаж, кабинет 213.', 'График работы:', 'Дни недели', 'Время', 'Кабинет', 'пн - пт', '10:00 – 19:00', '213 (2 этаж)', 'сб', '10:00 – 15:00', '213 (2 этаж)', '\xa0', '\xa0', 'Подать заявление на выпуск банковской карты ПАО Сбербанк для зачисления заработной платы (если ранее такая карта не выпускалась), а также получить любые консультации по вопросам использования банковских карт ПАО Сбербанк Вы можете по следующему графику присутствия представителей ПАО Сбербанк на территории Московского Политехнического Университета:', 'ул. Большая   Семеновская д. 38', 'с 10-00 до 12-00', 'Вестибюль корпуса А', '\xa0', 'ул. Павла Корчагина\xa0 д. 22', '\xa0', 'с 10-00 до 12-00', 'Вестибюль главного корпуса, 2 этаж', '\xa0', 'ул. Автозаводская д. 16', '\xa0', 'с 10-00 до 12-00', 'Вестибюль главного корпуса («шайба»)', '\xa0', 'ул. Прянишникова д. 2А', '\xa0', 'с 10-00 до 12-00', 'Ауд. 1211,', 'Конференц-зал', 'В другое время подать заявление можно в отделении ПАО Сбербанк по адресу: ', 'пн.-пт. с 08-30 час. до 18-30 час.', 'сб. с 08-30 час. до 15-00 час.', 'вс. - выходной', '\xa0', '\xa0', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)",yes,,"(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,Московский Политех - Банковские карты
http://mospolytech.ru/index.php?id=2042,"([],)","([],)","(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Оплата обучения', '\xa0', '\xa0', '\xa0', 'Москва, Большая семеновская, д. 38, ауд. Н402', '\xa0', 'Телефон: (495) 223-05-40 или (495) 223-05-23 доб. 1247, 1549, 1550', ' (Логин и пароль для доступа можно получить в Центре по работе со студентами)', 'С Положением об оказании платных образовательных услуг в университете машиностроения можно ознакомиться ', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)",yes,,"(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,Московский Политех - Оплата обучения
http://mospolytech.ru/index.php?id=1300,"([],)","([],)","(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Бланки заявлений для студентов', 'Бланки заявлений\xa0', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)",yes,,"(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,Московский Политех - Бланки заявлений для студентов
http://mospolytech.ru/index.php?id=668,"([],)","([],)","(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Внеучебная деятельность', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)",yes,,"(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,Московский Политех - Внеучебная деятельность
https://passport.yandex.ru/auth?origin=metrica&retpath=https%3A%2F%2Fmetrika.yandex.ru%2Fdashboard%3Fid%3D24882404%26from%3Dinformer,"([],)","([],)","(['Логин', 'Пароль', 'Чужой компьютер', 'Войти', 'ru', 'Помощь', '© 2001-2017, ', 'Яндекс'],)",no,,"([],)","([],)",no,Авторизация
http://mospolytech.ru/index.php?id=56,"([],)","([],)","(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Общая информация', ' Арзамасова Инна Ивановна', 'Адрес:\xa0107023, г. Москва, ул. Б. Семёновская, д. 38, корп. А', 'кабинет А-324,325', 'тел: (495) 223-05-23, доб. 1225', '\xa0', '\xa0Максимова Анастасия Олеговна (сотрудники, аспиранты)', 'тел: (495) 223-05-23, доб. 1025', '\xa0', '\xa0Дашкин Евгений Николаевич', '(студенты, аспиранты и сотрудники ВШПиМ)', 'тел: (495) 223-05-23, доб. 1026', '\xa0', '\xa0Фомин Андрей Германович', 'тел: (495) 223-05-23, доб. 1027', '\xa0', ' Ткаченко Татьяна Сергеевна (студенты)', '\xa0Евдокимова Наталья Сергеевна (студенты)', 'тел: (495) 223-05-23, доб. 1125', '\xa0', 'с понедельника по пятницу с 10-00 до 16-00', 'с понедельника по четверг с 10-00 по 16-00', 'обед с 12-00 до 13-00', 'с понедельника по четверг с 14-00 до 16-00', 'а) постановка на воинский учет военнообязанных и призывников очного отделения;', 'б) снятие с воинского учета;', 'в) оформление справок для предоставления в районные военные комиссариаты для оформления отсрочки от призыва на военную службу (', ');', 'г) выписки из приказов (рассылка писем по районным военным комиссариатам) об отчислении, окончании, восстановлении и т.д. на студентов очного отделения.', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)",yes,,"(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,Московский Политех - Общая информация
http://mospolytech.ru/index.php?id=3579,"([],)","([],)","(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'О Центрах', 'Центр  по работе со студентами – составляющая часть Управления контингента  образовательных программ, работа которого направлена на документальное  сопровождение и информационно-справочное обслуживание обучающихся университета.', 'Каждый из центров ориентирован на работу с обучающимися определенного факультета, но в любом из центров обучающийся может получить информацию относительно организации учебного процесса и обучения в университете.', '\xa0', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)",yes,,"(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,Московский Политех - О Центрах
http://mospolytech.ru/index.php?id=5363,"([],)","([],)","(['найти', 'Университет', 'Образование', 'Наука', 'Внеучебная жизнь', 'Подготовительное отделение для иностранных граждан', 'Прием на обучение иностранных слушателей Подготовительного отделения\xa0Управления по международной интеграции и работе с иностранными студентами осуществляется как по договорам на оказание платных образовательных услуг, так и в соответствии с международными договорами и межправительственными соглашениями Российской Федерации за счет бюджетных ассигнований федерального бюджета.', 'Для обучения иностранные слушатели в срок до 01 ноября 2017 г. должны предоставить в\xa0Управление по международной интеграции и работе с иностранными студентами (Н-315) следующие документы:', '\xa0', '\xa0', '\xa0', '\xa0', 'У нас работают преподаватели по русскому языку, имеющие квалификацию РКИ. Большинство наших преподавателей базовых предметов \xa0- кандидаты наук, а также у нас преподают старшие преподаватели и ассистенты. Наши преподаватели говорят на русском и английском языках>', 'Мы обеспечиваем консульско-визовую поддержку, предоставляем общежитие на весь период обучения, помогаем в оформлении страховки.', '\xa0', 'Ул. Б. Семеновская д.38, корпус «Н», ауд. 315', ':\xa08 (495) 223-05-23\xa0доб.\xa01233,\xa01453, 1252', ': ежедневно с\xa011.00 до 17.00', '\xa0', 'urisa@mospolytech.ru', '\xa0', '\xa0', 'https://vk.com/inter_polytech', '\xa0', '\r\n\r\n', '\xa0', '\xa0', 'Ученый совет', 'Кампус', '\xa0', '\xa0', 'Центр развития профессионального образования'],)",yes,,"(['Московский политехнический университет является крупнейшей  образовательной организацией, готовящей квалифицированных специалистов для производства'],)","(['Московский политех, Московский политехнический университет, МАМИ, Университет машиностроения, обучение, вуз, высшее образование, МГОУ Черномырдина, МГВМИ, МИХМ, МГУИЭ, МГИУ, МГУП Ивана Федорова'],)",yes,Московский Политех - Подготовительное отделение для иностранных граждан
http://lib.mami.ru/,"(['Тестовые доступы к ЭБС', 'ул. Б.Семеновская, 38', 'ул.Павла Корчагина, 22', 'ул.Автозаводская, 16', 'ул. Прянишникова, 2А', 'ул. Садовая-Спасская, 6', 'ул. 800-летия Москвы, 28корп.1', 'О Библиотечно-информационном центре'],)","([],)","(['Телефон: ', '(495) 223-05-23 доб. 1307', 'Телефон:', ' ', '(495) 223-05-23 доб.3210', 'Телефон:', ' ', '(495) 276-34-41', 'Телефон: ', '(499) 976-13-67', 'Телефон:', ' ', '(495) 607-36-53', 'Телефон:', ' ', '(499) 900-38-22'],)",no,,"([],)","([],)",no,Библиотечно-информационный центр Московского Политеха
